Marca,Modelo,Slogan,Tipo,Categoria,IVA Incluido,Version,Motor,Combustible,Transmision,Potencia,Torque,Traccion,Rendimiento,Autonomia,Puertas,Asientos,Airbags,Precio Lista,Bono Marca,Bono Financiamiento,Precio Final
Toyota,bZ4X,100% Eléctrico de Toyota,liviano,"SUV, Eléctrico",SÍ,BZ4X LIMITED 4X2,Motor eléctrico,Eléctrico,Automática,221 HP,269 Nm,4x2,,478 km,,,8,44990000,0,3000000,41990000
Toyota,bZ4X,100% Eléctrico de Toyota,liviano,"SUV, Eléctrico",SÍ,BZ4X LIMITED AWD,2 Motores eléctricos,Eléctrico,Automática,338 HP,338 Nm,AWD,,453 km,,,8,49990000,0,3000000,46990000
Toyota,Corolla Sedan Híbrido,"El modelo que buscabas, ahora más cerca que nunca",liviano,"Sedán, Híbrido",SÍ,Corolla XLI 1.8 eCVT Híbrido,1.8L Híbrido,Híbrido,CVT,122 HP,142 Nm,4x2,"Mixto 21,8 km/l",,,,7,24790000,900000,600000,23290000
Toyota,Corolla Sedan Híbrido,"El modelo que buscabas, ahora más cerca que nunca",liviano,"Sedán, Híbrido",SÍ,Corolla XEI 1.8 eCVT Híbrido,1.8L Híbrido,Híbrido,CVT,122 HP,142 Nm,4x2,"Mixto 21,8 km/l",,,,7,25990000,200000,500000,25290000
Toyota,Corolla Sedan Híbrido,"El modelo que buscabas, ahora más cerca que nunca",liviano,"Sedán, Híbrido",SÍ,Corolla XEI 1.8 eCVT Híbrido,1.8L Híbrido,Híbrido,CVT,122 HP,142 Nm,4x2,"Mixto 21,8 km/l",,,,7,25790000,200000,500000,25090000
Toyota,Corolla Sedan Híbrido,"El modelo que buscabas, ahora más cerca que nunca",liviano,"Sedán, Híbrido",SÍ,Corolla XEI 1.8 eCVT Híbrido,1.8L Híbrido,Híbrido,CVT,122 HP,142 Nm,4x2,"Mixto 21,8 km/l",,,,7,25790000,400000,500000,24890000
Toyota,Corolla Sedan Híbrido,"El modelo que buscabas, ahora más cerca que nunca",liviano,"Sedán, Híbrido",SÍ,Corolla SEG 1.8 eCVT Híbrido,1.8L Híbrido,Híbrido,CVT,122 HP,142 Nm,4x2,"Mixto 21,8 km/l",,,,7,28290000,500000,725000,27065000
Toyota,Corolla Sedan Híbrido,"El modelo que buscabas, ahora más cerca que nunca",liviano,"Sedán, Híbrido",SÍ,Corolla SEG 1.8 eCVT Híbrido,1.8L Híbrido,Híbrido,CVT,122 HP,142 Nm,4x2,"Mixto 21,8 km/l",,,,7,28490000,500000,725000,27265000
Toyota,Yaris Sedan Híbrido,"El modelo que buscabas, ahora más cerca que nunca",liviano,"Sedán, Híbrido",SÍ,New Yaris Sedan HEV 1.5 AT G,1.5L Híbrido,Híbrido,CVT,101 HP,,4x2,"Mixto 21,3 km/L",,,,6,21990000,0,600000,21390000
Toyota,Yaris Cross Híbrido,"El modelo que buscabas, ahora más cerca que nunca",liviano,"SUV, Híbrido",SÍ,Yaris Cross XI 1.5 Híbrido CVT,1.5L Híbrido,Híbrido,CVT,110 HP,141 Nm,4x2,,,,,6,24590000,2000000,800000,21790000
Toyota,Yaris Cross Híbrido,"El modelo que buscabas, ahora más cerca que nunca",liviano,"SUV, Híbrido",SÍ,Yaris Cross XG 1.5 Híbrido CVT,1.5L Híbrido,Híbrido,CVT,110 HP,141 Nm,4x2,,,,,6,25490000,0,600000,24890000
Toyota,Corolla Cross Híbrido,La tradición de innovar,liviano,"SUV, Híbrido",SÍ,Corolla Cross 1.8 XEI CVT HV,1.8L Híbrido,Híbrido,CVT,122 HP,,4x2,"Mixto 22,6 km/l",,,,7,27990000,2000000,500000,25490000
Toyota,Corolla Cross Híbrido,La tradición de innovar,liviano,"SUV, Híbrido",SÍ,Corolla Cross 1.8 SEG CVT HV,1.8L Híbrido,Híbrido,CVT,122 HP,,4x2,"Mixto 22,6 km/l",,,,7,29990000,0,0,29990000
Toyota,RAV4 Híbrido,RAV4 como nunca antes,liviano,"SUV, Híbrido",SÍ,Rav4 XLE HV 2.5 CVT,2.5L Híbrido,Híbrido,CVT,219 HP,,4x2,,,,,7,34690000,1700000,250000,32740000
Toyota,RAV4 Híbrido,RAV4 como nunca antes,liviano,"SUV, Híbrido",SÍ,Rav4 XSE 2.5 4X2 CVT HV,2.5L Híbrido,Híbrido,CVT,219 HP,,4x2,,,,,7,40390000,1500000,0,38890000
Toyota,RAV4 Híbrido,RAV4 como nunca antes,liviano,"SUV, Híbrido",SÍ,Rav4 LTD 2.5 4X4 CVT HV,2.5L Híbrido,Híbrido,CVT,219 HP,,4x4,"Mixto 21,4 km/l",,,,7,41890000,1000000,0,40890000
Toyota,RAV4 Híbrido,RAV4 como nunca antes,liviano,"SUV, Híbrido",SÍ,Rav4 LE HEV 2.5 CVT,2.5L Híbrido,Híbrido,CVT,219 HP,,4x2,,,,,7,33490000,0,1000000,32490000
Toyota,RAV4 Híbrido,RAV4 como nunca antes,liviano,"SUV, Híbrido",SÍ,All New Rav4 Híbrido XLE HEV 2.5 4X2 CTV,2.5L Híbrido,Híbrido,CVT,219 HP,,4x2,,,,,7,36990000,0,0,36990000
