Marca,Modelo,Slogan,Tipo,Categoria,IVA Incluido,Version,Motor,Combustible,Transmision,Potencia,Torque,Traccion,Rendimiento,Autonomia,Puertas,Asientos,Airbags,Precio Lista,Bono Marca,Bono Financiamiento,Precio Final
toyota,All New Rav4 Híbrido,RAV4 como nunca antes,liviano,SUV,,LE HEV 2.5 CVT,2.5L Híbrido (HEV),No especificado,Automática CVT,219 HP (Combinada),No especificado,4x2,,,,,,33490000,1000000,,32490000
toyota,All New Rav4 Híbrido,RAV4 como nunca antes,liviano,SUV,,XLE HEV 2.5 4X2 CTV,2.5L Híbrido (HEV),No especificado,Automática CVT,219 HP (Combinada),No especificado,4x2,,,,,,36990000,0,,36990000
toyota,All New Rav4 Híbrido,RAV4 como nunca antes,liviano,SUV,,XSE HEV 2.5 4X4 CTV,2.5L Híbrido (HEV),No especificado,Automática CVT,219 HP (Combinada),No especificado,4x4,,,,,,42990000,0,,42990000
toyota,Rav4 Híbrido,Diseño Inspirador,liviano,SUV,,Rav4 LE HEV 2.5 CVT,2.5L Híbrido (HEV),"Mixto 21,4 km/l",Automática CVT,219 HP (Combinada),No especificado,4x2,,,,,,33490000,1000000,,32490000
toyota,Rav4 Híbrido,Diseño Inspirador,liviano,SUV,,Rav4 XLE HV 2.5 CVT,2.5L Híbrido (HEV),"Mixto 21,4 km/l",Automática CVT,219 HP (Combinada),No especificado,4x2,,,,,,34690000,3900000,,30790000
toyota,Rav4 Híbrido,Diseño Inspirador,liviano,SUV,,Rav4 LTD 2.5 4X4 CVT HV,2.5L Híbrido (HEV),"Mixto 21,4 km/l",Automática CVT,219 HP (Combinada),No especificado,4x4 (AWD),,,,,,41890000,2900000,,38990000
toyota,Corolla Cross Híbrido,La tradición de innovar,liviano,SUV,,Corolla Cross 1.8 XEI CVT HV,1.8L Híbrido,"Mixto 22,6 km/l",Automática CVT,122 HP (Combinada),No especificado,4x2,,,,,,26990000,1000000,,25990000
toyota,Corolla Cross Híbrido,La tradición de innovar,liviano,SUV,,Corolla Cross 1.8 SEG CVT HV,1.8L Híbrido,"Mixto 22,6 km/l",Automática CVT,122 HP (Combinada),No especificado,4x2,,,,,,29990000,1000000,,28990000
toyota,Yaris Sedan Híbrido,"El modelo que buscabas, ahora más cerca que nunca",liviano,Sedán,,New Yaris Sedan HEV 1.5 AT G,1.5L Híbrido (HEV),"Mixto 21,3 km/L",Automática E-CVT,101 HP (Potencia combinada),No especificado,4x2,,,,,,20990000,1000000,,19990000
toyota,Corolla Híbrido,"El modelo que buscabas, ahora más cerca que nunca",liviano,Sedán,,Corolla XLI 1.8 eCVT Híbrido,1.8L Híbrido (HEV),"Mixto 21,8 km/l",Automática eCVT,122 HP (Combinada),142 Nm,4x2,,,,,,21990000,1000000,,20990000
