Marca,Modelo,Version,Precio Lista,Bono Marca,Bono Financiamiento,Precio Financiamiento,Tipo,Categoria,Incluye IVA,Motor CC,Combustible,Transmision,Airbags,Traccion,Rendimiento Mixto,Autonomia KM,Potencia Hp,Torque Nm
Audi,A3 Sedán,PI 35 TFSI S line MHEV,"$41,990,000","$2,290,000","$1,200,000","$38,500,000",liviano,"sedán, híbrido",SÍ,1.5L MHEV,Híbrido,Automática,6,4x2,"19,6 km/l",-,150 HP,250 Nm
Audi,A3 Sportback,PI 35 TFSI MHEV,"$37,990,000","$4,090,000","$3,000,000","$30,900,000",liviano,"hatchback, híbrido",SÍ,1.5L MHEV,Híbrido,Automática,6,4x2,"19,6 km/l",-,150 HP,250 Nm
Audi,A3 Sportback,PI 35 TFSI S line MHEV,"$42,490,000","$2,590,000","$3,000,000","$36,900,000",liviano,"hatchback, híbrido",SÍ,1.5L MHEV,Híbrido,Automática,6,4x2,"19,6 km/l",-,150 HP,250 Nm
Audi,A3 Sportback,PI 35 TFSI S line MHEV Special Edition,"$44,490,000","$1,990,000","$3,000,000","$39,500,000",liviano,"hatchback, híbrido",SÍ,1.5L MHEV,Híbrido,Automática,6,4x2,"19,6 km/l",-,150 HP,250 Nm
Audi,A6 Sportback e-tron,S line,"$89,900,000",$0,"$1,700,000","$88,200,000",liviano,"sedán, eléctrico",SÍ,Eléctrico,Eléctrico,Automática,-,4x2,"16,0 kWh/100km",750 km,285 HP,565 Nm
Audi,A6 Sportback e-tron,performance S line,"$104,900,000",$0,"$1,700,000","$103,200,000",liviano,"sedán, eléctrico",SÍ,Eléctrico,Eléctrico,Automática,-,4x2,"16,0 kWh/100km",716 km,367 HP,610 Nm
Audi,Nuevo A5,TFSI,"$53,900,000","$1,000,000","$3,000,000","$49,900,000",liviano,sedán,SÍ,2.0L,Gasolina,Automática,-,4x2,"14,2 km/l",-,204 HP,370 Nm
Audi,Nuevo A5,TFSI quattro S line,"$59,900,000","$1,000,000","$3,000,000","$55,900,000",liviano,sedán,SÍ,2.0L,Gasolina,Automática,-,AWD,"13,7 km/l",-,204 HP,370 Nm
Audi,Nuevo Q3,TFSI,"$44,990,000","$1,000,000","$2,500,000","$41,490,000",liviano,suv,SÍ,1.5L,Gasolina,Automática,6,4x2,"13,4 km/l",-,150 HP,250 Nm
Audi,Nuevo Q3 Sportback,TFSI,"$47,490,000","$1,000,000","$2,500,000","$43,990,000",liviano,suv,SÍ,1.5L,Gasolina,Automática,6,4x2,"13,4 km/l",-,150 HP,250 Nm
Audi,Nuevo Q5,45 TFSI S line,"$74,390,000","$14,290,000","$1,700,000","$58,400,000",liviano,suv,SÍ,2.0L,Gasolina,Automática,7,AWD,"11,8 km/l",-,249 HP,370 Nm
Audi,Nuevo Q5,TFSI quattro,"$56,700,000","$2,000,000","$2,000,000","$52,700,000",liviano,suv,SÍ,2.0L,Gasolina,Automática,7,AWD,"13,5 km/l",-,204 HP,370 Nm
Audi,Nuevo Q5,TFSI quattro S line,"$63,700,000","$2,000,000","$2,000,000","$59,700,000",liviano,suv,SÍ,2.0L,Gasolina,Automática,7,AWD,"13,5 km/l",-,204 HP,370 Nm
Audi,Nuevo Q5 Sportback,TFSI quattro,"$59,200,000","$2,000,000","$2,000,000","$55,200,000",liviano,suv,SÍ,2.0L,Gasolina,Automática,7,AWD,"13,5 km/l",-,204 HP,370 Nm
Audi,Nuevo Q5 Sportback,TFSI quattro S line,"$66,200,000","$2,000,000","$2,000,000","$62,200,000",liviano,suv,SÍ,2.0L,Gasolina,Automática,7,AWD,"13,5 km/l",-,204 HP,370 Nm
Audi,Nuevo S5,TFSI quattro,"$78,900,000","$1,000,000","$3,000,000","$74,900,000",liviano,sedán,SÍ,3.0L,Gasolina,Automática,-,AWD,"13,2 km/l",-,367 HP,500 Nm
Audi,Nuevo SQ5,TFSI quattro,"$83,700,000","$2,000,000","$2,000,000","$79,700,000",liviano,suv,SÍ,3.0L,Gasolina,Automática,7,AWD,"11,8 km/l",-,367 HP,550 Nm
Audi,Q3,35 TFSI,"$42,990,000","$3,390,000","$2,700,000","$36,900,000",liviano,suv,SÍ,1.4L,Gasolina,Automática,6,4x2,"14,1 km/l",-,150 HP,250 Nm
Audi,Q3,35 TFSI (MY26),"$43,490,000","$2,390,000","$2,700,000","$38,400,000",liviano,suv,SÍ,1.5L,Gasolina,Automática,6,4x2,"14,1 km/l",-,150 HP,250 Nm
Audi,Q3 Sportback,35 TFSI (MY26),"$45,490,000","$3,690,000","$3,400,000","$38,400,000",liviano,suv,SÍ,1.5L,Gasolina,Automática,6,4x2,"14,1 km/l",-,150 HP,250 Nm
Audi,Q3 Sportback,35 TFSI S line,"$50,990,000","$3,190,000","$3,400,000","$44,400,000",liviano,suv,SÍ,1.5L,Gasolina,Automática,6,4x2,"14,1 km/l",-,150 HP,250 Nm
Audi,Q4 Sportback e-tron,Q4 Sportback e-tron,"$66,990,000","$2,890,000","$1,700,000","$62,400,000",liviano,"suv, eléctrico",SÍ,Eléctrico,Eléctrico,Automática,7,4x2,"18,0 kWh/100km",579 km,285 HP,545 Nm
Audi,Q4 Sportback e-tron,S line,"$71,990,000","$3,890,000","$1,700,000","$66,400,000",liviano,"suv, eléctrico",SÍ,Eléctrico,Eléctrico,Automática,7,4x2,"18,0 kWh/100km",579 km,285 HP,545 Nm
Audi,Q6 e-tron,45,"$75,990,000","$1,090,000","$1,700,000","$73,200,000",liviano,"suv, eléctrico",SÍ,Eléctrico,Eléctrico,Automática,9,4x2,"18,0 kWh/100km",625 km,252 HP,485 Nm
Audi,Q6 e-tron,50 S line,"$85,990,000","$1,090,000","$1,700,000","$83,200,000",liviano,"suv, eléctrico",SÍ,Eléctrico,Eléctrico,Automática,9,4x2,"18,0 kWh/100km",625 km,306 HP,535 Nm
Audi,Q6 e-tron,55 quattro S line,"$92,990,000","$1,090,000","$1,700,000","$90,200,000",liviano,"suv, eléctrico",SÍ,Eléctrico,Eléctrico,Automática,9,AWD,"19,0 kWh/100km",640 km,388 HP,650 Nm
Audi,Q6 Sportback e-tron,50 S line,"$88,490,000","$1,090,000","$1,700,000","$85,700,000",liviano,"suv, eléctrico",SÍ,Eléctrico,Eléctrico,Automática,9,4x2,"17,5 kWh/100km",656 km,306 HP,535 Nm
